CO,Ozone,NO2,SO2,PM2.5,PM10,AQI
0.51,12.03,8.78,8.72,6.67,16.29,25
0.3,11.3,8.78,8.76,7.42,21.25,21
0.59,14.73,8.78,9.69,5.21,15.92,31
0.34,13.94,8.81,8.31,5.58,14.96,17
0.38,14.96,8.85,7.43,6.78,24.3,24
0.54,13.7,9.02,10.04,8.46,32.75,33
0.64,11.68,9.24,7.86,8.75,38.29,38
0.68,12,9.28,8.63,6.83,30.42,34
0.32,7.66,9.26,7.19,6.29,17.04,17
0.75,10.95,9.27,7.46,8.96,29.25,37
0.74,12.02,9.27,9.42,10.38,38.29,38
0.78,13.57,9.25,7.6,12.5,31.63,38
0.56,10.64,9.25,8.81,11.91,27.3,28
0.61,10.81,9.27,7.57,15.96,35.92,36
0.47,9.22,9.26,7.6,13.79,31.58,32
0.28,12.15,9.26,8.43,7.79,19.08,19
0.5,14.22,9.27,7.04,3.88,9.58,25
0.28,13.29,9.24,7.72,2.46,6.42,14
0.3,11.16,9.26,9.08,4.79,12.42,15
0.34,9.56,9.26,9.17,4.71,12.42,17
0.51,13.97,9.27,9.64,6.83,17.33,25
0.83,12.83,9.25,9.68,9.83,23.67,41
0.34,10.08,9.26,8.97,6.25,15.83,17
0.43,15.22,9.26,9.03,3.83,8.54,21
0.8,10.93,8.93,9.36,3.46,9.42,40
0.51,14.2,8.98,9.51,3.96,8.96,26
0.67,13.55,9.17,8.02,4.5,11.33,33
0.37,8.63,9.19,7.12,3,7.67,18
0.3,11.35,9.2,9.35,2.25,6.92,15
0.25,10.94,9.22,7.91,5.42,13.83,14
0.56,10.16,9.2,8.03,7.96,19.92,28
0.62,10.72,9.21,7.13,9.88,23.75,30
0.6,10.61,9.21,8.66,7.83,19.33,30
0.62,10.33,9.19,7.16,5.21,13.58,31
0.38,10.98,9.2,7.21,5.88,14.75,19
0.57,11.21,9.21,8.17,6.5,15.5,28
0.3,10.41,9.2,6.86,8.13,19.75,20
0.25,10.7,9.2,7.23,4.21,11.08,15
0.41,12.26,9.2,8.23,3.46,9.25,20
0.51,12.81,9.21,7.68,4.21,10.5,26
0.45,11.39,9.19,7.61,3.88,10.08,13
0.41,13.07,9.19,8.91,5.79,14.25,21
0.53,13.67,9.21,8.94,5.04,13.08,26
0.26,13.01,9.21,8.84,4.33,9.58,13
0.23,12.51,9.05,8.24,4.96,10.46,13
0.26,12.53,9.21,7.49,4.33,9.5,13
0.54,13.01,9.21,9.01,3.71,9.04,26
0.6,12.66,9.2,8.16,9.13,21.08,27
0.35,14.94,9.22,8.4,6.46,15.67,18
0.38,14.36,9.23,9.28,9.38,22.25,22
0.27,12.66,9.23,6.52,9.38,22.08,22
0.54,12.14,9.21,8.19,8.29,20.42,21
0.32,11.62,9.22,8.38,10.08,24.17,24
0.57,12.12,9.23,9.23,8.42,20.67,29
0.31,12.32,9.21,7.4,9.08,22.17,22
0.43,12.55,9.21,9.02,5.96,15.08,21
0.6,10.66,9.22,7.74,7.96,19.58,24
0.29,10.22,9.22,8.23,8.83,20.67,21
0.54,10.8,9.22,7.95,10.25,24.5,25
0.57,9.85,9.23,8.78,11,26,26
0.58,9.05,9.22,8.16,12.29,28.58,29
0.38,9.2,9.21,9.45,14.75,33.5,34
0.36,10.34,9.22,7.44,12.79,29.58,30
0.31,12.18,9.23,8.79,10.67,25.33,25
0.27,9.28,9.2,7.68,12.13,28.08,28
0.51,10.11,9.24,9.88,13.96,31.92,32
0.31,10.47,9.2,9.11,13.33,30.67,31
0.68,12.22,9.2,8.95,18.67,41.17,41
0.62,11.89,9.21,9.51,9.67,21,27
0.55,11.9,9.2,6.85,5.42,13.67,28
0.45,12.17,9.22,8.53,5.54,14.25,23
0.29,10.31,9.21,6.79,7.25,17.83,18
0.55,11.33,9.24,10.5,8.83,21.67,28
0.5,9.76,9.21,8.37,8.96,21.75,25
0.65,12.06,9.2,8.1,8.5,21,32
0.36,11.98,9.21,7.04,10.63,25.08,25
0.34,15.17,9.2,9.21,11.42,26.83,27
0.32,12.03,9.22,8.81,8,19.83,20
0.3,13.4,9.21,8.22,7.04,17.25,17
0.27,10.24,9.22,8.32,4.79,11.92,14
0.24,12.18,9.2,6.49,3.96,8.63,12
0.39,13.1,9.22,9.23,4.25,9.71,20
0.28,12.96,9.22,8.62,4.71,12.92,14
0.34,13.57,9.21,7.52,4.38,11.25,17
0.98,10.16,9.22,7.77,2.25,8.33,34
0.39,13.7,9.2,9.25,3.33,10.67,20
0.37,12.71,9.22,9.01,3.54,11.08,19
0.38,11.9,9.21,9.33,6.5,17,19
0.29,11.17,9.21,7.93,3.17,10.33,15
0.4,11.02,9.22,8.87,1.71,7.42,20
0.57,12.34,9.2,7.8,5.38,14.75,29
0.31,10.66,9.22,9.13,1.79,7.58,16
0.29,10.99,9.21,9.38,3.46,10.92,15
0.33,13.1,9.19,8.84,2,8,17
0.32,14.16,9.22,8.04,3.58,11.17,16
0.36,12.44,9.22,8.06,3.79,11.58,18
0.4,13.24,9.22,8.06,3.5,11,20
0.33,11.96,9.21,10.59,1.63,7.25,17
0.38,11.71,9.23,9.39,1.92,7.83,19
0.35,11.36,9.23,8.22,4.13,12.25,18
0.53,15.58,9.21,9,3.25,10.5,27
0.49,10.18,9.22,10.13,1.96,7.92,25
0.68,10.46,9.21,8.23,2.75,9.5,33
0.62,13.99,9.22,10.23,4.29,12.58,31
0.38,12.87,9.2,8.19,2.54,9.08,19
0.42,12.89,9.22,8.33,2.25,8.5,21
0.27,11.56,9.21,8.17,3.46,10.92,14
0.73,13.08,9.2,8.98,6.83,19.63,32
0.42,11.77,9.22,8.78,7.5,19.5,21
0.61,10.93,9.2,10.37,6.29,23.08,31
0.33,11.52,9.22,8.05,4.67,11.75,17
0.38,8.26,9.22,9.1,3.92,11.71,19
0.97,16.29,9.22,8.95,3.42,17.75,39
0.3,12.73,9.22,8.44,0.38,8.46,15
0.29,18.36,9.21,7.54,0.83,13.08,18
0.81,21.19,9.23,8.47,3.75,11.92,28
0.69,16.79,9.24,7.66,4.31,13.77,35
0.37,15.64,9.2,10.48,3.6,19.47,19
0.38,16.71,9.22,7.3,10.83,38.17,38
0.4,17.29,9.23,8.85,16.63,50.79,51
0.39,17.03,9.22,6.71,14,40.33,40
0.37,17.44,9.21,7.77,10.46,33.29,33
0.37,15.56,9.23,8.54,8.13,26.5,27
0.39,14.94,9.22,7.56,4.21,9.71,20
0.59,11,9.22,7.68,6.67,13.83,30
0.39,11.13,9.21,8.26,1.79,13.92,20
0.35,10.67,9.22,8.26,5,14.21,18
0.33,12.54,9.21,7.4,7.21,14.63,17
0.46,13.19,9.22,9.09,4.88,12.17,23
0.48,11.2,9.22,10.29,4.33,11.5,24
0.67,17.01,9.21,7.97,7.46,16.25,34
0.79,15.36,9.22,10.11,11.25,28.42,40
0.83,13.25,9.22,9.28,16.38,33.38,42
0.87,13.32,9.22,8.37,24.33,46.13,46
0.53,14.17,9.2,7.7,23.08,43,43
0.42,15.73,9.22,6.21,14.46,27.71,28
0.57,16.33,9.22,9.4,18.13,37.58,38
0.48,13.42,9.21,7.91,14.33,30.71,31
0.47,14.77,9.2,7.44,13.83,29.92,30
0.51,18.68,9.21,7.93,22.92,44.79,45
0.63,17.84,9.21,8.04,28.25,51.54,52
0.5,15.96,9.22,6.91,26.17,45.67,46
0.49,13.65,9.22,7.68,8.33,25.46,25
0.67,15.61,9.21,5.37,13.17,34.54,35
0.79,23.34,9.23,7.96,23.75,46.79,47
0.82,15.49,9.21,7.69,12.5,27.92,41
0.55,12.62,9.2,8.33,10.5,26.58,28
0.52,11.53,9.2,9.21,6.21,17.83,26
0.4,12.32,9.19,8.14,6.13,15.88,20
0.67,11.89,9.22,9.45,7.17,19.25,33
0.58,15.67,9.2,10.3,8.33,21.96,29
0.59,18.24,9.31,10.04,14.33,30.13,30
0.83,12.63,9.01,7.83,9.88,21.96,41
0.84,13.66,8.75,8.08,7.58,18.54,42
0.54,12.84,8.77,9.34,50.08,74.17,83
0.66,17.67,8.95,8.25,114.83,150.88,283
1.1,29.04,10.09,7.47,69.58,106.38,133
