CO,Ozone,NO2,SO2,PM2.5,PM10,AQI
0.16,14.5,18.4,7.4,14,35,35
0.2,14.2,19.4,8.2,9,24,27
0.25,14.7,16.2,7.9,8,21,27
0.22,16.4,17.4,8.9,8,24,27
0.37,12.6,45.2,7.9,7,18,27
0.36,15.2,45.7,7.5,7,19,27
0.32,11.4,49.4,6,7,18,30
0.14,11.7,43.2,8,8,18,28
0.36,12.4,44.8,8.7,7,19,27
0.31,11.1,53.3,5.9,9,24,29
0.2,13.2,36.8,11.3,7,18,27
,,,,,,
,,,,,,
,,,,,,
0.37,14.8,34.1,7.7,7,21,27
0.22,12.1,38.2,8.8,6,17,27
0.17,9.8,39.6,8.3,11,22,27
0.15,12.5,45.8,8.1,-,-,
0.25,12.7,41,8,8,16,36
0.23,11.1,23.2,7.5,8,20,39
0.22,11.6,20.5,8.9,9,27,33
0.45,13.3,19.8,8.1,10,25,31
0.32,11.1,15.1,8.4,10,30,30
0.26,14.4,15,9.4,9,26,26
0.18,13.3,14.3,8.3,9,22,22
0.25,10.1,16.6,6.2,8,22,22
0.3,12.8,13.3,5.7,10,25,25
0.21,13.2,19.2,8.2,-,-,22
0.21,13.6,9.7,13.3,6,23,23
0.34,13.8,14.7,10,9,27,27
0.3,14.8,13.3,9.8,7,19,22
0.17,14.6,11.7,8.9,7,19,19
0.2,16.4,11.5,7.5,7,21,21
0.25,17.4,9.4,9.6,7,23,23
0.38,14.3,12,5.1,8,17,19
0.3,13.8,10.3,5,11,25,25
0.3,14.5,10.7,8.9,13,30,30
0.23,13.6,10,9,10,25,25
0.19,11.9,8.5,5.2,8,21,21
0.22,14.9,10.4,9,6,18,18
0.22,16.5,9.1,5,9,21,21
0.22,14.4,9,4.5,7,19,19
0.23,13.5,9.5,6.2,6,17,17
0.22,11.8,13.7,7.4,7,20,20
0.24,11.7,22.9,9.3,7,19,19
,,,,,,
,,,,,,
,,,,,,
,,,,,,
0.34,10.7,24.3,11.4,11,20,19
0.25,10.5,35.1,14,10,22,20
0.23,10,33.1,13.1,14,29,22
0.24,9.8,34.1,12.2,17,37,29
0.24,11.9,35.7,11.9,17,34,37
0.24,10.5,34,14.3,18,37,34
0.23,8.9,28.7,12.1,11,25,37
0.21,9.4,32.5,15,10,21,25
0.32,12.2,30.6,13.7,11,21,36
0.43,13,25.8,14.5,8,19,33
0.27,12.9,26.6,15.6,10,28,28
0.29,11.6,23.1,13.4,14,31,46
0.24,11.2,25.5,14.4,15,29,39
0.18,9.8,26.4,13.5,9,21,43
0.17,8.2,24.9,12,9,20,44
0.19,9.2,28.3,14.3,12,28,42
0.2,11.1,30.9,15.8,13,31,48
0.23,10,27.1,15.4,15,29,52
0.23,12.9,25.3,12.8,16,36,45
0.33,11.1,30.2,13.4,14,31,41
0.2,12.4,25.3,12.1,13,26,50
0.26,11.2,25.6,11.8,10,21,42
0.22,10.9,29.3,11.2,8,16,43
0.22,11,25,8.6,9,17,49
0.24,10,30.7,11.6,13,25,17
0.44,9.7,30.4,11.8,15,32,50
0.35,9.6,24.8,9.1,15,29,51
0.28,14.1,21.1,11.5,16,35,41
0.43,16.1,27.1,11.9,12,28,35
,,,,,,
,,,,,,
,,,,,,
0.46,15.3,19.7,14.2,16,32,32
0.29,12.4,20.3,13.7,8,14,35
0.4,10.7,27.6,13.9,9,21,29
0.54,14,20.7,16.2,8,17,36
0.32,13,23,13.4,9,19,40
0.33,14.6,18.5,12.1,-,-,
0.47,10.5,34.6,13.5,5,11,48
0.44,11.2,23.3,10.3,10,19,40
0.41,14.2,21.1,11.9,9,18,36
0.23,12.7,32.1,10.8,10,21,47
0.24,10,28.5,13.1,8,16,48
0.24,13.4,33.9,13.1,9,19,52
0.24,9.6,27.1,10.8,10,22,45
0.51,17.4,25.8,13.8,20,36,42
0.57,13.9,23.7,14.3,19,38,39
0.47,14.1,27.7,10.4,13,25,45
0.44,11.9,20.6,8.9,9,20,34
0.72,14.2,20.7,12.7,9,21,36
0.34,11.5,27,11.5,8,16,44
0.25,13.4,19.3,12.3,8,17,33
0.57,13,22.2,14.3,12,23,37
0.57,13.6,19.8,12.4,10,23,34
0.4,11.4,23.3,11.3,7,15,38
0.55,9,27.2,14.4,6,13,47
0.42,10.6,26.7,12.1,7,16,47
0.39,13,25.6,13.5,8,15,49
0.23,15.4,31.3,11.8,9,18,51
0.27,16.2,28.3,11.8,14,27,56
0.35,16.6,26.2,14.3,17,33,50
0.31,17.7,22.3,14.4,50,72,83
0.32,16.3,18.9,13.5,69,94,130
,,,,,,
,,,,,,
,,,,,,
0.27806,16.32189,27.6837,12.44791,17.375,32.54167,68
0.48791,16.5414,25.9569,11.6595,14.04167,24.66667,53
0.3468,15.71245,29.5669,11.95604,10,22.16667,45
0.49155,13.22741,28.4029,13.60314,12.61905,25.90476,60
0.42803,14.64973,28.834,14.19267,13.63636,27.68182,50
0.60681,13.32139,22.3312,14.12955,18,32.125,39
0.53842,10.73076,26.5966,18.60756,31.83333,75.08334,34
0.44052,15.24578,15.0661,15.04301,12.64286,25.85714,32
0.35252,14.69524,21.283,11.72738,16.29167,33.16667,46
0.32128,14.93616,15.9009,13.45784,23.83333,40.95833,54
0.48583,15.09231,17.383,13.51144,23.79167,49.54167,64
0.45354,14.98791,17.2145,13.98782,27.125,59.83333,38
0.43584,18.88903,15.3218,13.5424,27.16667,59.95833,28
0.40303,17.26594,15.4989,13.05887,14.20833,29,25
0.4952,17.50597,14.4914,16.10416,20.625,44.29167,53
0.56289,14.85139,18.169,14.05571,19.125,40.625,72
0.3645,14.85853,13.0819,12.66943,11.375,22.08333,74
0.53581,15.53043,14.3528,14.88819,27.45833,60.66667,62
0.84512,20.4211,16.0069,14.92868,37.04167,83.29166,52
0.69255,13.49599,20.0805,13.77107,25.33333,55.54167,54
0.80763,11.53115,18.3075,13.77583,28.41667,62.83333,77
0.63163,13.73959,17.5943,12.33477,27.83333,61.625,52
0.67328,19.46813,14.819,11.49395,35.41667,79.58334,41
0.59518,18.9274,13.6532,12.35144,34.66667,77.83334,47
0.74098,19.16832,17.7585,10.69482,33.95833,76.20834,42
0.6009,21.1626,12.3567,13.13509,25.58333,56.33333,50
0.79982,18.72128,15.3355,13.23513,27.16667,60.125,56
0.83522,17.31502,16.6843,15.492,30.125,66.875,35
0.80554,28.7266,13.554,13.7532,41.5,94,35
0.53321,26.71626,11.4681,12.35144,36.58333,82.45834,41
,,,,,,
,,,,,,
,,,,,,
0.38845,21.0591,12.4405,10.84607,30.58333,68.04166,68
0.36606,18.67399,13.5301,14.20815,24.20833,52.91667,53
0.70348,19.21026,12.2429,14.70359,20.79167,44.79167,45
0.7566,15.95337,15.6554,12.39074,27.16667,59.875,60
0.90292,16.56638,13.8696,13.89254,23,49.83333,50
0.71754,14.06527,15.7957,14.17957,18.58333,39.45833,39
0.54831,14.52927,13.3094,13.33518,16.125,33.54167,34
0.4348,14.51321,12.9742,15.60634,15.70833,32.25,32
0.45146,14.32939,13.1623,15.11685,21.20833,45.95833,46
0.60819,14.84782,13.365,12.69801,24.79167,54.375,54
0.53061,18.63651,13.8414,13.99139,29.08333,64.29166,64
0.41032,17.66034,12.1634,14.50232,18.04167,37.91667,38
0.43323,14.88797,16.6458,12.98623,10.54167,19.95833,28
0.4676,17.13388,15.4929,15.4003,9.416667,17.875,25
0.50978,24.7996,15.7854,13.22561,24.45833,53.45833,53
0.56185,30.58079,15.5254,13.79012,32.41667,72.125,72
0.57851,28.7382,14.5068,12.25974,33.125,74.33334,74
0.63371,24.23835,13.1906,11.1188,28.25,62.45833,62
0.45302,30.54332,13.1888,13.14939,23.70833,51.5,52
0.62121,26.42715,12.5953,13.49357,24.45833,53.5,54
0.59882,24.75053,12.739,12.99099,34.25,76.79166,77
0.38741,17.68086,12.4243,13.65674,23.79167,51.66667,52
0.35304,20.25692,13.7832,12.45863,19.08333,40.66667,41
0.46135,19.15315,16.4953,13.49476,21.75,47.125,47
0.37023,22.05847,13.5267,12.2383,19.58333,41.66667,42
0.44209,25.56787,14.8797,11.0533,23,50.125,50
0.58008,27.21238,12.3866,14.20219,25.54167,56.20833,56
0.4551,22.82584,14.6582,14.3856,16.5,34.66667,35
0.45719,27.07407,12.7963,13.44474,16.91667,35.45833,35
0.53634,26.34239,12.6594,14.42967,19.16667,40.91667,41
0.58789,18.22695,16.006,13.1601,17.70833,37.5,38
